Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS
SANTA FE,General Obligado,Tacuarendí (Emb. Kilómetro 421),92,115,0,0,0,0,0,3
SANTA FE,General Obligado,Villa Ana,0,0,0,0,0,1,0,0
SANTA FE,General Obligado,Villa Guillermina,163,173,0,0,0,1,0,123
SANTA FE,General Obligado,Villa Ocampo,2009,1807,0,0,0,1,0,0
SANTA FE,General Obligado,Lanteri,0,0,0,0,0,0,0,300
SANTA FE,General Obligado,Arroyo Ceibal,0,0,0,0,0,0,0,108
SANTA FE,Iriondo,Barrio Cicarelli,0,0,0,0,0,0,0,9
SANTA FE,Iriondo,Bustinza,287,0,0,6,0,0,0,90
SANTA FE,Iriondo,Cañada de Gómez,1211,7780,0,342,0,0,0,411
SANTA FE,Iriondo,Carrizales (Est. Clarke),274,17,0,1,0,0,0,0
SANTA FE,Iriondo,Classon,0,0,0,147,0,0,0,21
SANTA FE,Iriondo,Colonia Médici,0,0,0,0,0,0,0,12
SANTA FE,Iriondo,Correa,80,991,0,722,0,0,0,35
SANTA FE,Iriondo,Larguía,0,0,0,0,0,0,0,7
SANTA FE,Iriondo,Lucio V. López,0,5,0,0,0,0,0,31
SANTA FE,Iriondo,Oliveros,2000,0,0,1360,0,0,0,0
SANTA FE,Iriondo,Pueblo Andino,0,853,0,0,0,0,0,414
SANTA FE,Iriondo,Salto Grande,493,0,0,0,0,0,0,89
SANTA FE,Iriondo,Serodino,182,0,0,12,0,0,0,112
SANTA FE,Iriondo,Totoras,293,0,0,920,0,1,0,131
SANTA FE,Iriondo,Villa Eloísa,563,0,0,457,8,0,0,81
SANTA FE,Iriondo,Villa La Rivera (Oliveros),0,0,0,0,0,0,0,37
SANTA FE,Iriondo,Villa La Rivera (Pueblo Andino),0,0,0,0,0,1,0,26
SANTA FE,La Capital,Angel Gallardo,0,0,0,0,0,0,0,23
SANTA FE,La Capital,Arroyo Aguiar,99,0,0,0,0,0,0,38
SANTA FE,La Capital,Arroyo Leyes,0,1115,0,88,0,0,0,106
SANTA FE,La Capital,Cabal,0,0,0,0,0,0,0,14
SANTA FE,La Capital,Candioti,0,0,0,287,0,0,0,1
SANTA FE,La Capital,Emilia,96,0,0,166,0,0,0,2
SANTA FE,La Capital,Laguna Paiva,716,0,0,0,0,0,0,64
SANTA FE,La Capital,Llambi Campbell,133,0,0,0,73,0,0,158
SANTA FE,La Capital,Monte Vera,193,0,0,0,0,3,0,0
SANTA FE,La Capital,Nelson,289,0,0,1,3,0,0,35
SANTA FE,La Capital,Recreo,865,39,0,1879,0,0,0,278
SANTA FE,La Capital,San José del Rincón,865,2329,0,498,0,1,0,0
SANTA FE,La Capital,Santa Fe,10255,63214,31,55571,1700,11,0,99
SANTA FE,La Capital,Santo Tomé,13,14,0,1591,11,0,0,684
SANTA FE,La Capital,Sauce Viejo,601,0,0,242,0,0,0,63
SANTA FE,Las Colonias,Cavour,0,0,0,0,0,0,0,3
SANTA FE,Las Colonias,Cululú,0,0,0,0,0,0,0,24
SANTA FE,Las Colonias,Elisa,0,0,0,252,0,0,0,0
SANTA FE,Las Colonias,Empalme San Carlos,0,0,0,0,0,0,0,13
SANTA FE,Las Colonias,Esperanza,1017,8029,0,48,0,3,0,422
SANTA FE,Las Colonias,Felicia,0,0,0,0,0,0,0,433
SANTA FE,Las Colonias,Franck,135,0,0,1386,0,0,0,101
SANTA FE,Las Colonias,Grutly,93,0,0,0,0,0,0,21
SANTA FE,Las Colonias,Hipatia,0,0,0,0,0,0,0,53
SANTA FE,Las Colonias,Humboldt,212,0,0,24,2,0,0,195
SANTA FE,Las Colonias,La Pelada,0,0,0,106,0,0,0,96
SANTA FE,Las Colonias,Las Tunas,3,0,0,108,0,1,0,0
SANTA FE,Las Colonias,María Luisa,0,0,0,0,0,0,0,167
SANTA FE,Las Colonias,Matilde,85,0,0,0,0,0,0,68
SANTA FE,Las Colonias,Nuevo Torino,78,0,0,0,72,0,0,5
SANTA FE,Las Colonias,OTROS,0,0,0,0,0,0,0,16
SANTA FE,Las Colonias,Pilar,112,0,0,10,0,0,0,2
SANTA FE,Las Colonias,Progreso,0,0,0,0,0,0,0,617
SANTA FE,Las Colonias,Providencia,0,0,0,0,0,0,0,136
SANTA FE,Las Colonias,Sa Pereyra,54,0,0,0,0,0,0,3
SANTA FE,Las Colonias,San Agustín,0,0,0,0,0,0,0,83
SANTA FE,Las Colonias,San Carlos Centro,265,4022,0,10,0,0,0,33
SANTA FE,Las Colonias,San Carlos Norte,0,264,0,1,0,0,0,142
SANTA FE,Las Colonias,San Carlos Sud,30,676,0,2,0,0,0,6
SANTA FE,Las Colonias,San Jerónimo del Sauce,0,0,0,119,0,0,0,0
SANTA FE,Las Colonias,San Jerónimo Norte,135,0,0,1622,0,0,0,261
SANTA FE,Las Colonias,Santa Clara de Buena Vista,0,758,0,0,0,0,0,0
SANTA FE,Las Colonias,Santo Domingo,0,0,0,0,0,0,0,270
SANTA FE,Las Colonias,SARMIENTO,135,0,0,0,130,0,0,159
SANTA FE,OTROS,OTROS,0,0,0,0,2581,0,0,0
SANTA FE,Rosario,Acebal,20,755,0,36,391,0,0,140
SANTA FE,Rosario,Álvarez,5,1393,0,2,134,0,0,0
SANTA FE,Rosario,Alvear,893,3258,0,467,0,0,0,20
SANTA FE,Rosario,Arminda,0,86,0,0,40,0,0,0
SANTA FE,Rosario,Arroyo Seco,529,4028,0,1529,0,0,0,14
SANTA FE,Rosario,Carmen del Sauce,0,3,0,180,0,0,0,22
SANTA FE,Rosario,Coronel Bogado,415,0,0,178,0,0,0,0
SANTA FE,Rosario,Cuatro Esquinas,0,0,0,48,0,0,0,0
SANTA FE,Rosario,El Caramelo,71,0,0,497,0,0,0,0
SANTA FE,Rosario,Fighiera,185,0,0,0,0,0,0,258
SANTA FE,Rosario,Funes,1970,6269,1,6830,0,1,0,240
SANTA FE,Rosario,General Lagos,400,0,0,1,1,0,0,141
SANTA FE,Rosario,Granadero Baigorria,0,3207,0,974,2,0,0,676
SANTA FE,Rosario,Ibarlucea,0,785,0,982,0,0,0,412
SANTA FE,Rosario,Pérez,476,0,0,115,0,4,0,6
SANTA FE,Rosario,Piñero (Est. Erasto),0,181,0,1,55,0,0,0
SANTA FE,Rosario,Pueblo Esther,397,0,0,842,0,1,0,0
SANTA FE,Rosario,Pueblo Muñoz (Est. Bernard),0,118,0,0,54,0,0,0
SANTA FE,Rosario,Pueblo Uranga,15,0,0,162,0,0,0,52
SANTA FE,Rosario,Puerto Arroyo Seco,0,0,0,0,25,0,0,0
SANTA FE,Rosario,Rosario,8813,164525,71,184903,152,2,0,5218
SANTA FE,Rosario,Soldini,59,780,0,0,86,0,0,0
SANTA FE,Rosario,Villa Amelia,172,109,0,2,0,0,0,2
SANTA FE,Rosario,Villa del Plata,0,0,0,231,101,0,0,0
SANTA FE,Rosario,Villa Gobernador Gálvez,0,17,0,9,0,0,0,39
SANTA FE,Rosario,Zavalla,150,1,0,0,0,0,0,0
SANTA FE,Rosario,Albarellos,0,0,0,0,0,0,0,20
SANTA FE,Rosario,Coronel Rodolfo S. Domínguez,0,318,0,0,0,0,0,0
SANTA FE,Rosario,Kilómetro 101,1,0,0,0,0,1,0,0
SANTA FE,Rosario,Arbilla,31,0,0,0,0,0,0,0
SANTA FE,Rosario,Monte Flores,9,0,0,0,0,0,0,0
SANTA FE,San Cristóbal,Aguará Grande,0,0,0,0,0,1,0,2
SANTA FE,San Cristóbal,Ambrosetti,0,0,0,0,0,1,0,84
SANTA FE,San Cristóbal,Arrufo,140,166,0,137,0,0,0,0
SANTA FE,San Cristóbal,Balneario La Verde,0,0,0,0,0,1,0,0
SANTA FE,San Cristóbal,Capivara,0,0,0,0,0,1,0,0
SANTA FE,San Cristóbal,Ceres,747,1939,0,0,0,0,0,610
SANTA FE,San Cristóbal,Colonia Bossi,56,0,0,78,0,0,0,111
SANTA FE,San Cristóbal,Hersilia,0,210,0,34,0,0,0,370
SANTA FE,San Cristóbal,Huanqueros,0,0,0,0,0,0,0,32
SANTA FE,San Cristóbal,La Cabral,0,0,0,0,1,1,0,2
SANTA FE,San Cristóbal,La Rubia,0,31,0,0,0,0,0,12
SANTA FE,San Cristóbal,Las Palmeras,0,0,0,0,0,0,0,97
SANTA FE,San Cristóbal,Moisés Ville,89,352,0,240,0,0,0,1
SANTA FE,San Cristóbal,Monigotes,0,0,0,48,0,0,0,12
SANTA FE,San Cristóbal,Ñanducita,0,0,0,0,0,0,0,39
SANTA FE,San Cristóbal,OTROS,0,0,0,0,0,0,0,8
SANTA FE,San Cristóbal,Palacios,2,0,0,36,0,0,0,39
SANTA FE,San Cristóbal,San Cristóbal,578,815,0,1518,0,1,0,451
SANTA FE,San Cristóbal,San Guillermo,887,1478,0,224,0,0,0,248
SANTA FE,San Cristóbal,Santurce,0,0,0,0,0,0,0,33
SANTA FE,San Cristóbal,Soledad,0,0,0,0,0,0,0,201
SANTA FE,San Cristóbal,Suardi,0,0,0,1560,0,0,0,0
SANTA FE,San Cristóbal,Villa Saralegui,0,0,0,0,3,0,0,52
SANTA FE,San Cristóbal,Curupaity,0,0,0,0,0,0,0,15
SANTA FE,San Cristóbal,Colonia Ana,0,0,0,0,0,0,0,6
SANTA FE,San Cristóbal,Colonia Rosa,0,0,0,0,0,0,0,12
SANTA FE,San Javier,Alejandra,0,0,0,0,0,1,0,453
SANTA FE,San Javier,Cacique Ariacaiquín,0,0,0,0,0,0,0,56
SANTA FE,San Javier,Colonia Durán,0,0,0,0,0,1,0,0
SANTA FE,San Javier,Romang,0,801,0,2,195,0,0,369
SANTA FE,San Javier,San Javier,0,826,0,96,0,0,0,194
SANTA FE,San Javier,La Brava,0,0,0,0,0,0,0,20
SANTA FE,San Jerónimo,Arocena,0,202,0,0,400,0,0,0
SANTA FE,San Jerónimo,Barrancas,1381,0,0,0,0,0,0,0
SANTA FE,San Jerónimo,Barrio Caima,0,0,0,0,0,0,0,21
SANTA FE,San Jerónimo,Bernardo de Irigoyen (Est. Irigoyen),0,0,0,262,0,0,0,0
SANTA FE,San Jerónimo,Centeno,810,0,0,94,0,0,0,0
SANTA FE,San Jerónimo,Coronda,419,0,0,3509,215,0,0,684
SANTA FE,San Jerónimo,Desvío Arijón,130,0,0,0,0,0,0,43
SANTA FE,San Jerónimo,Díaz,256,0,0,258,0,0,0,0
SANTA FE,San Jerónimo,Gaboto,0,0,0,0,201,0,0,240
SANTA FE,San Jerónimo,Gálvez,3272,0,0,4304,59,0,0,20
SANTA FE,San Jerónimo,Gessler,96,0,0,105,0,0,0,46
SANTA FE,San Jerónimo,Irigoyen,0,99,0,0,0,0,0,246
SANTA FE,San Jerónimo,Larrechea,0,0,0,0,0,0,0,26
SANTA FE,San Jerónimo,Loma Alta,15,0,0,31,0,0,0,0
SANTA FE,San Jerónimo,López (Est. San Martín de Tours),16,332,0,0,0,0,0,0
SANTA FE,San Jerónimo,Maciel,393,782,0,0,136,0,0,1
SANTA FE,San Jerónimo,Monje,0,0,0,791,0,0,0,0
SANTA FE,San Jerónimo,San Fabián,55,115,0,0,0,0,0,67
SANTA FE,San Jerónimo,San Genaro,278,0,0,1124,0,0,0,57
SANTA FE,San Jerónimo,San Genaro Norte,614,0,0,805,0,0,0,46
SANTA FE,San Jerónimo,San Eugenio,0,23,0,0,0,0,0,0
SANTA FE,San Justo,Angeloni,0,0,0,0,0,0,0,24
SANTA FE,San Justo,Cayastacito,0,0,0,0,0,0,0,71
SANTA FE,San Justo,Esther,0,0,0,0,0,0,0,11
SANTA FE,San Justo,Gobernador Crespo,127,1110,0,0,0,0,0,257
SANTA FE,San Justo,La Criolla (Est. Cañadita),246,342,0,0,0,0,0,31
SANTA FE,San Justo,Marcelino Escalada,93,57,0,0,0,0,0,130
SANTA FE,San Justo,Naré,0,0,0,0,0,0,0,13
SANTA FE,San Justo,OTROS,0,0,0,0,0,28,0,0
SANTA FE,San Justo,Pedro Gómez Cello,0,0,0,0,0,0,0,92
SANTA FE,San Justo,Ramayón,0,0,0,0,0,0,0,162
SANTA FE,San Justo,San Bernardo,0,0,0,0,0,0,0,7
SANTA FE,San Justo,San Justo,222,3,0,8164,550,0,0,52
SANTA FE,San Justo,Vera y Pintado (Est. Guaraníes),12,47,0,190,67,0,0,140
SANTA FE,San Justo,Videla,106,0,0,312,0,0,0,33
SANTA FE,San Justo,Colonia Dolores,0,0,0,0,0,0,0,22
SANTA FE,San Justo,La Penca y Caraguatá,0,0,0,0,0,0,0,26
SANTA FE,San Justo,San Martín Norte,0,0,0,0,0,0,0,35
SANTA FE,San Justo,Silva (Est. Abipones),0,0,0,0,0,0,0,25
SANTA FE,San Lorenzo,Aldao,0,524,0,0,0,0,0,0
SANTA FE,San Lorenzo,Capitán Bermúdez,2997,1255,1,2899,0,0,0,0
SANTA FE,San Lorenzo,Carcarañá,537,1,0,0,0,0,0,23
SANTA FE,San Lorenzo,Coronel Arnold,0,0,0,245,0,0,0,0
SANTA FE,San Lorenzo,Fray Luis Beltrán,1828,24,0,871,0,0,0,0
SANTA FE,San Lorenzo,Fuentes,0,0,0,920,0,0,0,20
SANTA FE,San Lorenzo,Luis Palacios (Est. La Salada),0,552,0,0,0,0,0,47
SANTA FE,San Lorenzo,Puerto General San Martín,0,0,0,2602,215,2,0,16
SANTA FE,San Lorenzo,Pujato,876,0,0,0,15,0,0,103
SANTA FE,San Lorenzo,Ricardone,341,1128,0,0,0,1,0,22
SANTA FE,San Lorenzo,Roldán,1650,1961,0,3123,2,0,0,508
SANTA FE,San Lorenzo,San Jerónimo Sud,115,1068,0,2,0,0,0,0
SANTA FE,San Lorenzo,San Lorenzo,903,5278,0,1020,0,0,0,50
SANTA FE,San Lorenzo,Timbúes,148,0,0,1207,134,1,0,79
SANTA FE,San Lorenzo,Villa Elvira,0,0,0,0,0,0,0,30
SANTA FE,San Lorenzo,Villa Mugueta,0,1,0,0,0,1,0,29
SANTA FE,San Martín,Carlos Pellegrini,310,997,0,615,0,0,0,61
SANTA FE,San Martín,Casas,0,11,0,0,0,0,0,8
SANTA FE,San Martín,Castelar,0,0,0,30,0,0,0,0
SANTA FE,San Martín,Colonia Belgrano,0,86,0,278,250,0,0,0
SANTA FE,San Martín,El Trébol,611,1539,0,1476,0,0,0,4
SANTA FE,San Martín,Landeta,198,217,0,0,0,0,0,0
SANTA FE,San Martín,Las Bandurrias,0,8,0,0,2,0,0,3
SANTA FE,San Martín,Las Petacas,0,0,0,0,0,0,0,0
SANTA FE,San Martín,Los Cardos,66,236,0,15,0,1,0,0
SANTA FE,San Martín,María Susana,341,0,0,827,3,0,0,42
SANTA FE,San Martín,Piamonte,0,1270,0,0,0,0,0,0
SANTA FE,San Martín,San Jorge,1448,980,0,1829,0,1,0,183
SANTA FE,San Martín,San Martín de las Escobas,795,936,0,0,0,0,0,108
SANTA FE,San Martín,Sastre,209,0,0,580,0,0,0,145
SANTA FE,San Martín,Cañada Rosquín,0,1518,0,83,0,0,0,47
SANTA FE,Vera,Calchaquí,369,0,0,0,1050,1,0,230
SANTA FE,Vera,Cañada Ombú,0,0,0,0,0,1,0,34
SANTA FE,Vera,Colmena,0,0,0,0,0,1,0,0
SANTA FE,Vera,Fortín Olmos,0,0,0,0,0,2,0,337
SANTA FE,Vera,Garabato,0,0,0,0,0,0,0,104
SANTA FE,Vera,Intiyaco,0,0,0,0,0,2,0,97
SANTA FE,Vera,La Gallareta,0,0,0,0,0,0,0,373
SANTA FE,Vera,Margarita,0,740,0,0,0,2,0,106
SANTA FE,Vera,Paraje 29,0,0,0,0,0,1,0,34
SANTA FE,Vera,Pozo de los Indios,0,0,0,0,0,2,0,23
SANTA FE,Vera,Toba,0,0,0,0,0,1,0,52
SANTA FE,Vera,Vera (Est. Gobernador Vera),286,0,0,0,2000,0,0,801
SANTA FE,Vera,Los Amores,0,0,0,0,0,0,0,122
SANTA FE,Vera,Pueblo Santa Lucía,0,0,0,0,0,0,0,30
SANTA FE,Vera,Golondrina,0,0,0,0,0,0,0,70
SANTA FE,Vera,Kilómetro 115,0,0,0,0,0,0,0,3
SANTA FE,Vera,Tartagal (Est. El Tajamar),0,0,0,0,0,0,0,210
SANTIAGO DEL ESTERO,Aguirre,Malbrán,9,0,0,1,0,1,0,0
SANTIAGO DEL ESTERO,Aguirre,Villa General Mitre (Est. Pinto),0,229,0,0,0,3,0,2
SANTIAGO DEL ESTERO,Aguirre,Argentina,0,0,0,1,0,0,0,0
SANTIAGO DEL ESTERO,Aguirre,Casares,0,0,0,1,0,0,0,0
SANTIAGO DEL ESTERO,Alberdi,Campo Gallo,1,0,0,5,0,4,0,63
SANTIAGO DEL ESTERO,Alberdi,Coronel Manuel L. Rico,0,0,0,0,0,1,0,0
SANTIAGO DEL ESTERO,Alberdi,Donadeu,1,0,0,1,0,0,0,0
SANTIAGO DEL ESTERO,Alberdi,Sachayoj,0,0,0,204,0,3,0,0
SANTIAGO DEL ESTERO,Alberdi,Santos Lugares,0,0,0,11,57,1,0,5
SANTIAGO DEL ESTERO,Atamisqui,Estación Atamisqui,1,0,0,1,0,1,0,0
SANTIAGO DEL ESTERO,Atamisqui,Medellín,0,0,0,2,0,1,0,29
SANTIAGO DEL ESTERO,Atamisqui,Villa Atamisqui,1,0,0,2,0,2,0,45
SANTIAGO DEL ESTERO,Avellaneda,Colonia Dora,55,10,0,1,0,2,0,5
SANTIAGO DEL ESTERO,Avellaneda,Herrera,0,3,0,1,100,1,0,0
SANTIAGO DEL ESTERO,Avellaneda,Icaño,0,3,0,2,0,1,0,79
SANTIAGO DEL ESTERO,Avellaneda,Lugones,0,2,0,2,0,1,0,0
SANTIAGO DEL ESTERO,Avellaneda,Real Sayana,0,2,0,2,0,0,0,0
SANTIAGO DEL ESTERO,Avellaneda,Villa Mailín,0,0,0,0,0,2,0,1
SANTIAGO DEL ESTERO,Banda,Clodomira,0,0,0,3,5,1,0,417
SANTIAGO DEL ESTERO,Banda,La Banda,26,0,0,1618,0,3,0,367
SANTIAGO DEL ESTERO,Banda,Los Quiroga,0,0,0,0,0,1,0,45
SANTIAGO DEL ESTERO,Banda,Simbolar,0,0,0,1,0,1,0,0
SANTIAGO DEL ESTERO,Banda,Abra Grande,1,0,0,0,0,0,0,0
SANTIAGO DEL ESTERO,Banda,Chaupi Pozo,0,0,0,1,0,0,0,0
SANTIAGO DEL ESTERO,Banda,Huyamampa,0,0,0,1,0,0,0,0
SANTIAGO DEL ESTERO,Banda,La Aurora,0,0,0,1,0,0,0,0
SANTIAGO DEL ESTERO,Banda,Los Soria,1,0,0,0,0,0,0,0
SANTIAGO DEL ESTERO,Banda,Tramo 20,1,0,0,0,0,0,0,0
SANTIAGO DEL ESTERO,Belgrano,Bandera,0,429,0,4,0,3,0,69
SANTIAGO DEL ESTERO,Belgrano,Cuatro Bocas,0,0,0,0,0,1,0,97
SANTIAGO DEL ESTERO,Belgrano,Fortín Inca,0,0,0,1,0,1,0,111
SANTIAGO DEL ESTERO,Belgrano,Guardia Escolta,5,4,0,1,0,1,0,13
SANTIAGO DEL ESTERO,Capital,El Mojón,0,0,0,0,0,1,0,3
SANTIAGO DEL ESTERO,Capital,El Zanjón,0,0,0,0,0,1,0,96
SANTIAGO DEL ESTERO,Capital,San Pedro,0,0,0,0,250,0,0,4
SANTIAGO DEL ESTERO,Capital,Santa María,1,0,0,1,0,0,0,4
SANTIAGO DEL ESTERO,Capital,Santiago del Estero,3196,77685,2,17294,1,5,0,1708
SANTIAGO DEL ESTERO,Capital,Los Cardozos,0,0,0,2,0,0,0,3
SANTIAGO DEL ESTERO,Capital,Yanda,0,0,0,0,0,0,0,38
SANTIAGO DEL ESTERO,Capital,Maco,0,0,0,0,0,0,0,78
SANTIAGO DEL ESTERO,Capital,Maquito,0,0,0,0,0,1,0,43
SANTIAGO DEL ESTERO,Capital,Morales,0,0,0,0,0,0,0,3
SANTIAGO DEL ESTERO,Capital,Vuelta de la Barranca,0,0,0,0,0,0,0,4
SANTIAGO DEL ESTERO,Choya,Choya,49,0,0,3,0,2,0,0
SANTIAGO DEL ESTERO,Choya,Estación La Punta,360,0,0,0,0,0,0,0
SANTIAGO DEL ESTERO,Choya,Frías,1193,1,0,3222,0,2,0,782
SANTIAGO DEL ESTERO,Choya,Laprida,0,0,0,3,0,0,0,5
SANTIAGO DEL ESTERO,Choya,Tapso,0,0,0,1,0,0,0,71
SANTIAGO DEL ESTERO,Choya,Villa La Punta,0,0,0,4,0,1,0,5
SANTIAGO DEL ESTERO,Copo,El Caburé,0,0,0,0,20,0,0,100
SANTIAGO DEL ESTERO,Copo,La Firmeza,0,0,0,0,0,0,0,20
SANTIAGO DEL ESTERO,Copo,Los Pirpintos,0,0,0,200,0,1,0,0
SANTIAGO DEL ESTERO,Copo,Los Tigres,0,0,0,0,80,0,0,50
SANTIAGO DEL ESTERO,Copo,Monte Quemado,0,0,0,243,2,5,0,0
SANTIAGO DEL ESTERO,Copo,Nueva Esperanza,0,0,0,0,0,1,0,50
SANTIAGO DEL ESTERO,Copo,Pampa de los Guanacos,0,0,0,204,0,3,0,0
SANTIAGO DEL ESTERO,Copo,San José del Boquerón,0,0,0,0,120,0,0,5
SANTIAGO DEL ESTERO,Copo,Urutaú,0,0,0,0,0,0,0,30
SANTIAGO DEL ESTERO,Figueroa,Bandera Bajada,0,0,0,3,0,0,0,5
SANTIAGO DEL ESTERO,Figueroa,Caspi Corral,1,0,0,0,0,0,0,5
SANTIAGO DEL ESTERO,Figueroa,La Cañada,0,0,0,4,0,1,0,45
SANTIAGO DEL ESTERO,Figueroa,Vaca Huañuna,0,0,0,1,0,0,0,3
SANTIAGO DEL ESTERO,Figueroa,Villa Figueroa,0,0,0,1,0,0,0,3
SANTIAGO DEL ESTERO,Figueroa,La Invernada,1,0,0,2,0,0,0,1
SANTIAGO DEL ESTERO,Figueroa,Colonia San Juan,0,0,0,0,0,0,0,1
SANTIAGO DEL ESTERO,General Taboada,Añatuya,7,740,0,3162,200,4,0,365
SANTIAGO DEL ESTERO,General Taboada,Averías,0,0,0,1,0,0,0,4
SANTIAGO DEL ESTERO,General Taboada,Estación Tacañitas,0,0,0,2,0,1,0,3
SANTIAGO DEL ESTERO,General Taboada,Los Juríes,0,153,0,5,0,1,0,0
SANTIAGO DEL ESTERO,General Taboada,Tomás Young,0,43,0,0,0,0,0,2
SANTIAGO DEL ESTERO,Guasayán,Lavalle,1,0,0,0,200,2,0,1
SANTIAGO DEL ESTERO,Guasayán,San Pedro,1,0,0,0,0,0,0,2
SANTIAGO DEL ESTERO,Jiménez,El Arenal,0,0,0,0,72,1,0,0
SANTIAGO DEL ESTERO,Jiménez,El Bobadal,0,0,0,0,5,1,0,0
SANTIAGO DEL ESTERO,Jiménez,El Charco,0,0,0,3,30,0,0,0
SANTIAGO DEL ESTERO,Jiménez,Gramilla,0,0,0,1,48,0,0,0
SANTIAGO DEL ESTERO,Jiménez,Isca Yacu,0,0,0,0,7,0,0,0
SANTIAGO DEL ESTERO,Jiménez,Pozo Hondo,0,0,0,3,181,3,0,0
SANTIAGO DEL ESTERO,Juan F. Ibarra,El Colorado,0,0,0,0,20,1,0,0
SANTIAGO DEL ESTERO,Juan F. Ibarra,El Cuadrado,0,0,0,0,0,2,0,121
SANTIAGO DEL ESTERO,Juan F. Ibarra,Matará,0,0,0,4,0,1,0,20
SANTIAGO DEL ESTERO,Juan F. Ibarra,Suncho Corral,110,0,0,0,0,2,0,73
SANTIAGO DEL ESTERO,Juan F. Ibarra,Vilelas,1,0,0,0,0,1,0,2
SANTIAGO DEL ESTERO,Loreto,Villa San Martín (Est. Loreto),0,0,0,0,0,1,0,341
SANTIAGO DEL ESTERO,Mitre,Villa Unión,0,3,0,2,0,1,0,0
SANTIAGO DEL ESTERO,Moreno,Aerolito,1,0,0,0,25,3,0,1
SANTIAGO DEL ESTERO,Moreno,Alhuampa,1,0,0,1,20,0,0,0
SANTIAGO DEL ESTERO,Moreno,Hasse,1,0,0,0,15,0,0,0
SANTIAGO DEL ESTERO,Moreno,Pueblo Pablo Torelo (Est. Otumpa),1,0,0,1,50,0,0,0
SANTIAGO DEL ESTERO,Moreno,Quimilí,306,661,0,1,250,6,0,8
SANTIAGO DEL ESTERO,Moreno,Roversi,1,0,0,0,15,1,0,0
SANTIAGO DEL ESTERO,Moreno,Tintina,0,0,0,193,0,3,0,0
SANTIAGO DEL ESTERO,Moreno,Weisburd,0,0,0,0,0,1,0,43
SANTIAGO DEL ESTERO,Moreno,Hernán Mejía Miraval,1,0,0,0,0,0,0,0
SANTIAGO DEL ESTERO,Moreno,Patay,1,0,0,0,0,0,0,0
SANTIAGO DEL ESTERO,Moreno,Las Tinajas,0,0,0,0,0,1,0,0
SANTIAGO DEL ESTERO,Ojo de Agua,OTROS,0,0,0,0,0,4,0,0
SANTIAGO DEL ESTERO,Ojo de Agua,Sol de Julio,0,0,0,1,0,2,0,39
SANTIAGO DEL ESTERO,Ojo de Agua,Villa Ojo de Agua,0,0,0,5,333,0,0,62
SANTIAGO DEL ESTERO,OTROS,OTROS,0,0,0,0,310,0,0,0
SANTIAGO DEL ESTERO,Pellegrini,El Mojón,0,0,0,1,20,0,0,4
SANTIAGO DEL ESTERO,Pellegrini,Las Delicias,0,0,0,0,38,0,0,3
SANTIAGO DEL ESTERO,Pellegrini,Nueva Esperanza,0,0,0,3,134,1,0,10
SANTIAGO DEL ESTERO,Pellegrini,Rapelli,1,0,0,2,13,0,0,0
SANTIAGO DEL ESTERO,Pellegrini,Santo Domingo,0,0,0,0,60,0,0,5
SANTIAGO DEL ESTERO,Quebrachos,Sumampa,0,147,0,2,0,1,0,45
SANTIAGO DEL ESTERO,Quebrachos,Sumampa Viejo,0,0,0,0,0,0,0,18
SANTIAGO DEL ESTERO,Quebrachos,Ramírez de Velazco,1,0,0,0,0,0,0,0
SANTIAGO DEL ESTERO,Río Hondo,Chañar Pozo de Abajo,0,0,0,0,3,0,0,0
SANTIAGO DEL ESTERO,Río Hondo,Chauchillas,0,0,0,0,2,1,0,0
SANTIAGO DEL ESTERO,Río Hondo,Colonia Tinco,0,0,0,1,4,1,0,0
SANTIAGO DEL ESTERO,Río Hondo,El Charco,0,0,0,0,0,1,0,0
SANTIAGO DEL ESTERO,Río Hondo,Gramilla,0,0,0,0,0,1,0,73
SANTIAGO DEL ESTERO,Río Hondo,Los Núñez,0,0,0,3,7,0,0,0
SANTIAGO DEL ESTERO,Río Hondo,Mansupa,0,0,0,0,2,0,0,0
SANTIAGO DEL ESTERO,Río Hondo,Pozuelos,0,0,0,1,0,1,0,0
SANTIAGO DEL ESTERO,Río Hondo,Termas de Río Hondo,701,0,0,4,80,1,0,378
SANTIAGO DEL ESTERO,Río Hondo,Villa Río Hondo,0,0,0,0,10,0,0,0
SANTIAGO DEL ESTERO,Rivadavia,Colonia Alpina,0,50,0,0,0,1,0,45
SANTIAGO DEL ESTERO,Rivadavia,Palo Negro,0,0,0,1,0,0,0,8
SANTIAGO DEL ESTERO,Rivadavia,Selva,0,557,0,542,0,2,0,357
SANTIAGO DEL ESTERO,Robles,Beltrán,78,0,0,0,0,1,0,70
SANTIAGO DEL ESTERO,Robles,Colonia El Simbolar,0,0,0,0,0,2,0,42
SANTIAGO DEL ESTERO,Robles,Fernández,523,0,0,3,0,1,0,108
SANTIAGO DEL ESTERO,Robles,Ingeniero Forres (Est. Chaguar Punco),0,0,0,1,0,1,0,97
SANTIAGO DEL ESTERO,Robles,Vilmer,0,0,0,3,0,1,0,0
SANTIAGO DEL ESTERO,Salavina,Chilca Juliana,0,0,0,2,0,1,0,1
SANTIAGO DEL ESTERO,Salavina,Los Telares,0,0,0,4,0,1,0,0
